Drug	Disease
tranylcypromine	C0038436
trazodone	C0011581
trazodone	C0021603
treprostinil	C0020542
triamcinolone	C0001623
triamcinolone	C0004096
triamcinolone	C0006266
triamcinolone	C0015456
triamcinolone	C0016509
triamcinolone	C0018567
triamcinolone	C0021368
triamcinolone	C0023219
triamcinolone	C0024141
triamcinolone	C0035435
triamcinolone	C0035457
triamcinolone	C0036271
triamterene	C0013604
triamterene	C0020538
triamterene	C0020621
trichlormethiazide	C0013604
trichlormethiazide	C0018802
trichlormethiazide	C0020538
trichlormethiazide	C0027726
trifluoperazine	C0033975
trifluoperazine	C0036341
triflupromazine	C0019521
triflupromazine	C0027497
triflupromazine	C0030193
triflupromazine	C0033975
triflupromazine	C0042963
trifluridine	C0019357
trifluridine	C0022576
trihexyphenidyl	C0000771
trihexyphenidyl	C0030567
triiodothyronine	C0018021
triiodothyronine	C0027145
triiodothyronine	C0040136
triiodothyronine	C0920350
triiodothyronine	C0040156
trimeprazine	C0162820
trimeprazine	C0011615
trimeprazine	C0035457
trimeprazine	C0042109
trimethadione	C0014553
trimethaphan	C0003486
trimethaphan	C0020540
trimethoprim	C0162526
trimethoprim	C0006277
trimethoprim	C0014836
trimethoprim	C0015404
trimethoprim	C0032305
trimethoprim	C0033700
trimethoprim	C0038160
trimethoprim	C0040558
trimethoprim	C0042029
trimetrexate	C0032305
trimipramine	C0011581
tripelennamine	C0035457
tripelennamine	C0042109
triprolidine	C0009766
triprolidine	C0011615
troleandomycin	C0004096
troleandomycin	C0006818
troleandomycin	C0008149
troleandomycin	C0018081
troleandomycin	C0023241
troleandomycin	C0026936
troleandomycin	C0038160
troleandomycin	C0038395
troleandomycin	C0039128
tropicamide	C0022073
tropicamide	C0022081
tropicamide	C0022568
uracil mustard	C0023434
uracil mustard	C0023473
uracil mustard	C0026948
uracil mustard	C0919267
uracil mustard	C0032463
uracil mustard	C0836924
ursodiol	C0008350
ursodiol	C0023892
valproic acid	C0002395
valproic acid	C0005586
valproic acid	C0014553
valproic acid	C0085417
vancomycin	C0014121
vancomycin	C0014358
vancomycin	C0025295
vancomycin	C0027947
vancomycin	C0032787
vancomycin	C0038160
verapamil	C0002963
verapamil	C0004238
verapamil	C0004239
verapamil	C0020538
verapamil	C0027051
verapamil	C0039240
vidarabine	C0019357
vidarabine	C0022576
vinblastine	C1458155
vinblastine	C0008497
vinblastine	C0018671
vinblastine	C0019618
vinblastine	C0019829
vinblastine	C0022665
vinblastine	C0024121
vinblastine	C0026948
vinblastine	C0043117
vinblastine	C0036220
vinblastine	C0039590
vincristine	C0019829
vincristine	C0023418
vincristine	C0024305
vincristine	C0027819
vincristine	C0035412
vitamin k 1	C0000771
vitamin k 1	C0020640
vitamin k 1	C0021295
warfarin	C0004238
warfarin	C0032787
warfarin	C0034065
warfarin	C0038454
warfarin	C0040038
warfarin	C0040046
yohimbe preparation	C0242350
zalcitabine	C0001175
zidovudine	C0001175
abacavir	C0001175
adapalene	C0001144
adefovir	C0019163
alitretinoin	C0036220
alitretinoin	C0037274
amcinonide	C0011603
amcinonide	C0015456
amcinonide	C0016509
amcinonide	C0018567
amcinonide	C0021368
amcinonide	C0023219
amcinonide	C0036271
aminosalicylic acid	C0010346
aminosalicylic acid	C0041296
amlexanox	C0041582
anagrelide	C0032463
anagrelide	C0040034
anastrozole	C1458155
anisindione	C0004238
anisindione	C0013922
anisindione	C0027051
anisindione	C0034065
anisindione	C0040038
anisindione	C0042487
apraclonidine	C0028840
ardeparin	C0040038
ardeparin	C0042487
arformoterol	C0004096
argatroban	C0040034
argatroban	C0040038
aripiprazole	C0036341
arsenic trioxide	C0023487
atomoxetine	C1263846
atorvastatin	C1956346
atorvastatin	C0020443
atorvastatin	C0020476
atorvastatin	C0020557
azatadine	C0035457
azatadine	C0042109
azelaic acid	C0001144
azelaic acid	C0035854
azelastine	C0009766
azelastine	C0035457
azelastine	C0035460
bacampicillin	C0014836
bacampicillin	C0018081
bacampicillin	C0018482
bacampicillin	C0023860
bacampicillin	C0035243
bacampicillin	C0038395
bacampicillin	C0042029
balsalazide	C0009324
benazepril	C0011881
benazepril	C0018802
benazepril	C0020538
benazepril	C0242698
benzonatate	C0010200
benzonatate	C0019521
benzquinamide	C0027497
benzquinamide	C0042963
benzthiazide	C0013604
benzthiazide	C0018802
benzthiazide	C0020538
benzthiazide	C0027726
bexarotene	C0079773
bicalutamide	C0033578
bimatoprost	C0017612
bismuth subsalicylate	C1527298
bismuth subsalicylate	C0014836
bismuth subsalicylate	C0079487
bismuth subsalicylate	C0042769
bortezomib	C0026764
bosentan	C0020542
bretylium	C0042514
bretylium	C0042510
brimonidine	C0017612
brinzolamide	C0017612
bromfenac	C0030201
bromodiphenhydramine	C0003469
bromodiphenhydramine	C0026603
bromodiphenhydramine	C0027497
bromodiphenhydramine	C0035457
bromodiphenhydramine	C0021603
bromodiphenhydramine	C0042109
buclizine	C0027497
buclizine	C0042571
buclizine	C0042963
butenafine	C0040259
butenafine	C0040262
butoconazole	C0700345
cabergoline	C0020514
cabergoline	C0030567
candesartan	C0011881
candesartan	C0018802
candesartan	C0020538
candesartan	C0242698
capecitabine	C1458155
capecitabine	C0009404
carbinoxamine	C0035457
carbinoxamine	C0035460
carvedilol	C0002962
carvedilol	C0018802
carvedilol	C0020538
carvedilol	C0027051
cefdinir	C0006277
cefdinir	C0014836
cefdinir	C0018482
cefdinir	C0022729
cefdinir	C0029882
cefdinir	C0004626
cefdinir	C0033700
cefdinir	C0037199
cefdinir	C0162627
cefdinir	C0038160
cefdinir	C0038395
cefdinir	C0040425
cefditoren	C0006277
cefditoren	C0018482
cefditoren	C0022729
cefditoren	C0031350
cefditoren	C0004626
cefditoren	C0149778
cefditoren	C0038166
cefditoren	C0038395
cefepime	C0001139
cefepime	C0005943
cefepime	C0014836
cefepime	C0015967
cefepime	C0018482
cefepime	C0022729
cefepime	C0027947
cefepime	C0004626
cefepime	C0033700
cefepime	C0033817
cefepime	C0034186
cefepime	C0243026
cefepime	C0085394
cefepime	C0162627
cefepime	C0149778
cefepime	C0038160
cefepime	C0038395
cefepime	C0042029
cefpodoxime	C0006277
cefpodoxime	C0014836
cefpodoxime	C0018081
cefpodoxime	C0018482
cefpodoxime	C0022729
cefpodoxime	C0029882
cefpodoxime	C0004626
cefpodoxime	C0033700
cefpodoxime	C0162627
cefpodoxime	C0149778
cefpodoxime	C0038395
cefpodoxime	C0040425
cefpodoxime	C0042029
cefprozil	C0006277
cefprozil	C0014836
cefprozil	C0018482
cefprozil	C0022729
cefprozil	C0029882
cefprozil	C0031350
cefprozil	C0033700
cefprozil	C0037199
cefprozil	C0162627
cefprozil	C0038160
cefprozil	C0038395
ceftibuten	C0006277
ceftibuten	C0014836
ceftibuten	C0018482
ceftibuten	C0022729
ceftibuten	C0029882
ceftibuten	C0038395
ceftibuten	C0040425
celecoxib	C0032580
celecoxib	C0003873
celecoxib	C0013390
celecoxib	C0029408
cevimeline	C0043352
chloroprocaine	C0030193
ciclesonide	C0004096
ciclopirox	C0006846
ciclopirox	C0040261
ciclopirox	C0040259
ciclopirox	C0040262
cilostazol	C0018128
cilostazol	C0021775
cilostazol	C0085096
clidinium	C0021390
clidinium	C0030920
clocortolone	C0015456
clocortolone	C0016509
clocortolone	C0018567
clocortolone	C0021368
clocortolone	C0023219
clocortolone	C0036271
cyclobenzaprine	C0026821
cyclobenzaprine	C0026837
cyclobenzaprine	C0026838
cyclobenzaprine	C0027121
cyclobenzaprine	C0030193
cyclobenzaprine	C0037763
cyclobenzaprine	C0039614
cyclothiazide	C0013604
cyclothiazide	C0018802
cyclothiazide	C0020538
cyclothiazide	C0027726
dalfopristin	C0038166
dalfopristin	C0038395
dapiprazole	C0026961
deserpidine	C0013384
deserpidine	C0020538
deserpidine	C0036341
desflurane	C0030193
desloratadine	C0035457
desloratadine	C0042109
dexbrompheniramine	C0035457
dexbrompheniramine	C0037199
dezocine	C0030193
diphenidol	C0027497
diphenidol	C0042571
diphenidol	C0042963
docetaxel	C1458155
docetaxel	C0007131
docetaxel	C0018671
docetaxel	C0025202
docetaxel	C0919267
docetaxel	C0030297
docetaxel	C0037579
docetaxel	C0038356
dofetilide	C0004238
dofetilide	C0004239
donepezil	C0002395
dorzolamide	C0017612
dyclonine	C0015468
efavirenz	C0001175
emedastine	C0009765
entacapone	C0030567
eplerenone	C0020538
eprosartan	C0011881
eprosartan	C0018802
eprosartan	C0020538
eprosartan	C0242698
ergoloid mesylates, usp	C0009088
ergoloid mesylates, usp	C0032797
ertapenem	C0243001
ertapenem	C0004669
ertapenem	C0014836
ertapenem	C0018482
ertapenem	C0022729
ertapenem	C0034186
ertapenem	C0035243
ertapenem	C0036690
ertapenem	C0149778
ertapenem	C0038166
ertapenem	C0038395
esmolol	C0002962
esmolol	C0018802
esmolol	C0020538
esmolol	C0027051
esmolol	C0039240
esmolol	C0042514
esmolol	C0042510
ethynodiol	C0014175
ethynodiol	C0020619
exemestane	C1458155
ezetimibe	C0020443
ezetimibe	C0020445
famciclovir	C0019342
famciclovir	C0019360
felbamate	C0085417
felbamate	C0036572
fexofenadine	C0035457
fexofenadine	C0042109
fludarabine	C0023434
fludarabine	C0024305
flunisolide	C0004096
flunisolide	C0035457
fluocinolone	C0011615
fluocinolone	C0015456
fluocinolone	C0016509
fluocinolone	C0018567
fluocinolone	C0021368
fluocinolone	C0023219
fluocinolone	C0033860
fluticasone	C0004096
fluticasone	C0035457
fluvastatin	C1956346
fluvastatin	C0020443
fluvastatin	C0020476
fluvastatin	C0020557
fomepizole	C0013221
formoterol	C0004096
formoterol	C0006266
fosphenytoin	C0036572
fosphenytoin	C0038220
fulvestrant	C1458155
gabapentin	C0005586
gabapentin	C0014547
gabapentin	C0030193
gabapentin	C0349231
gatifloxacin	C0006277
gatifloxacin	C0010692
gatifloxacin	C0014836
gatifloxacin	C0018081
gatifloxacin	C0018482
gatifloxacin	C0022729
gatifloxacin	C0004626
gatifloxacin	C0033700
gatifloxacin	C0034186
gatifloxacin	C0036117
gatifloxacin	C0037199
gatifloxacin	C0038160
gatifloxacin	C0038395
gatifloxacin	C0042029
gefitinib	C0024121
gemcitabine	C0887833
gemifloxacin	C0006277
gemifloxacin	C0206171
gemifloxacin	C0085423
gemifloxacin	C0155862
gemifloxacin	C0042029
glimepiride	C0011860
guanadrel	C0020538
halobetasol	C0015456
halobetasol	C0016509
halobetasol	C0018567
halobetasol	C0021368
halobetasol	C0023219
halobetasol	C0033774
halobetasol	C0036271
halofantrine	C0024535
halofantrine	C0024537
homatropine	C0021368
hydroxyurea	C0006118
hydroxyurea	C0007131
hydroxyurea	C0007134
hydroxyurea	C0018671
hydroxyurea	C1540912
hydroxyurea	C0023473
hydroxyurea	C0023518
hydroxyurea	C0025202
hydroxyurea	C0919267
hydroxyurea	C0032463
hydroxyurea	C0033578
hydroxyurea	C0033860
hydroxyurea	C0040028
hydroxyurea	C0042138
ibutilide	C0004238
ibutilide	C0004239
imatinib	C0005699
imatinib	C0017185
imatinib	C0023472
imiquimod	C0009663
irbesartan	C0011881
irbesartan	C0020538
irbesartan	C0242698
irinotecan	C1458155
irinotecan	C0007131
irinotecan	C0009375
irinotecan	C0023418
irinotecan	C0024299
irinotecan	C0027627
irinotecan	C0030297
irinotecan	C0034885
irinotecan	C0038356
isoniazid	C0041296
lamotrigine	C0005586
lamotrigine	C0014547
lamotrigine	C0036572
lansoprazole	C0013295
lansoprazole	C0014868
lansoprazole	C0017168
lansoprazole	C0079487
lansoprazole	C0038358
lansoprazole	C0043515
latanoprost	C0017612
leflunomide	C0003873
letrozole	C1458155
levocabastine	C0009766
linezolid	C0004626
linezolid	C0162627
linezolid	C0149778
linezolid	C0038160
linezolid	C0038395
lomefloxacin	C0006277
lomefloxacin	C0014836
lomefloxacin	C0022729
lomefloxacin	C0033700
lomefloxacin	C0033817
lomefloxacin	C0038160
lomefloxacin	C0038395
lomefloxacin	C0042029
lopinavir	C0001175
loracarbef	C0005943
loracarbef	C0017411
loracarbef	C0022408
loracarbef	C0029882
loracarbef	C0037199
loracarbef	C0037278
loracarbef	C0080274
medrysone	C0009766
medrysone	C0013182
medrysone	C0036416
meloxicam	C0029408
mercaptopurine	C0023434
mercaptopurine	C0024305
mercaptopurine	C1961102
meropenem	C0003615
meropenem	C0004669
meropenem	C0014836
meropenem	C0015967
meropenem	C0022729
meropenem	C0025292
meropenem	C0025294
meropenem	C0025295
meropenem	C0027947
meropenem	C0031154
meropenem	C0033817
meropenem	C0035243
meropenem	C0149778
meropenem	C0042029
mesalamine	C0009324
mesalamine	C0033246
mesalamine	C0037072
metaproterenol	C0004096
metaproterenol	C0006266
methdilazine	C0162820
methdilazine	C0011615
methdilazine	C0013595
methdilazine	C0032026
methdilazine	C0035457
methdilazine	C0042109
metocurine	C0039614
miglitol	C0011860
modafinil	C1263846
modafinil	C0015672
modafinil	C0027404
moexipril	C0011881
moexipril	C0018802
moexipril	C0020538
moexipril	C0242698
montelukast	C0004096
montelukast	C0035457
moxifloxacin	C0004669
moxifloxacin	C0006277
moxifloxacin	C0010692
moxifloxacin	C0014836
moxifloxacin	C0018081
moxifloxacin	C0018482
moxifloxacin	C0022729
moxifloxacin	C0004626
moxifloxacin	C0033700
moxifloxacin	C0033817
moxifloxacin	C0034186
moxifloxacin	C0036117
moxifloxacin	C0037199
moxifloxacin	C0038160
moxifloxacin	C0038395
moxifloxacin	C0042029
mycophenolate mofetil	C0018133
mycophenolate mofetil	C0033860
nabilone	C0027497
nabilone	C0042963
nabumetone	C0003873
nabumetone	C0021368
nabumetone	C0029408
nabumetone	C0030193
naftifine	C0040259
nateglinide	C0011860
nilutamide	C0007097
nilutamide	C0033578
nitazoxanide	C0010418
nitazoxanide	C0011991
nitazoxanide	C0017536
nitisinone	C0268483
norgestimate	C0002453
norgestimate	C0021361
norgestimate	C0042134
olanzapine	C0005586
olanzapine	C0033975
olanzapine	C0036341
olmesartan	C0011881
olmesartan	C0018802
olmesartan	C0020538
olmesartan	C0242698
olopatadine	C0009766
orlistat	C0028754
oxaliplatin	C0009404
oxaprozin	C0553662
oxaprozin	C0029408
oxcarbazepine	C0014547
oxiconazole	C0006846
oxiconazole	C0040259
oxybutynin	C0005697
oxybutynin	C0042024
pamidronate	C0020437
pamidronate	C0029435
pamidronate	C0029458
pamidronate	C0030186
pantoprazole	C0014868
pantoprazole	C0017168
pantoprazole	C0079487
pantoprazole	C0043515
paricalcitol	C0020502
pemirolast	C0009766
penciclovir	C0149678
penciclovir	C0019345
phenacemide	C0085417
phenindamine	C0035457
phenindamine	C0042109
pioglitazone	C0011860
pirbuterol	C0004096
pirbuterol	C0006266
podofilox	C0043037
prednicarbate	C0015456
prednicarbate	C0016509
prednicarbate	C0018567
prednicarbate	C0021368
prednicarbate	C0023219
prednicarbate	C0033774
prednicarbate	C0036271
prednisolone	C0001623
prednisolone	C0009326
prednisolone	C0009763
prednisolone	C0013604
prednisolone	C0017178
prednisolone	C0018939
prednisolone	C0020517
prednisolone	C0021368
prednisolone	C0027651
prednisolone	C0035242
prednisolone	C0035435
prednisolone	C0037274
propiomazine	C0021603
quetiapine	C0004352
quetiapine	C0005586
quetiapine	C0033975
quinapril	C0011881
quinapril	C0018802
quinapril	C0020538
quinapril	C0242698
quinethazone	C0013604
quinethazone	C0018802
quinethazone	C0020538
quinethazone	C0027726
rabeprazole	C0013295
rabeprazole	C0017168
rabeprazole	C0079487
rabeprazole	C0043515
ranolazine	C0002962
remifentanil	C0030193
repaglinide	C0011860
rescinnamine	C0020538
rifapentine	C0041327
rimexolone	C0021368
rimexolone	C0042165
rivastigmine	C0002395
ropinirole	C0030567
ropivacaine	C0030201
rosiglitazone	C0011860
salmeterol	C0004096
salmeterol	C0006266
sildenafil	C0020538
sildenafil	C0243000
sitagliptin	C0011860
sparfloxacin	C0008149
sparfloxacin	C0014836
sparfloxacin	C0018482
sparfloxacin	C0022729
sparfloxacin	C0032285
sparfloxacin	C0033700
sparfloxacin	C0036117
sparfloxacin	C0038160
sparfloxacin	C0038395
sulfacytine	C0085423
sulfacytine	C0085426
sulfacytine	C0042029
tadalafil	C0020538
tamsulosin	C2937421
tazarotene	C0001144
tazarotene	C0033860
tazobactam	C0014836
tazobactam	C0033700
tazobactam	C0033817
tazobactam	C0035243
tazobactam	C0036690
tazobactam	C0037278
tazobactam	C0149778
tazobactam	C0038395
tazobactam	C0042029
telmisartan	C0011881
telmisartan	C0018802
telmisartan	C0020538
telmisartan	C0242698
temozolomide	C0004114
temozolomide	C0025202
terbinafine	C0006845
terbinafine	C0040261
terbinafine	C0040250
terbinafine	C0040259
terbinafine	C0040262
terconazole	C0700345
tiagabine	C0005586
tiagabine	C0014547
tioconazole	C0700345
tiotropium	C0004096
tirofiban	C0002965
tirofiban	C0010068
tirofiban	C0027051
tizanidine	C0024031
tizanidine	C0026821
tizanidine	C0026837
tizanidine	C0026838
tizanidine	C0027121
tizanidine	C0037763
tizanidine	C0040997
tolterodine	C0005686
tolterodine	C0042024
topiramate	C0005586
topiramate	C0014547
topiramate	C0014549
topiramate	C0030193
topiramate	C0037769
torsemide	C0003962
torsemide	C0013604
torsemide	C0018802
torsemide	C0020538
torsemide	C0022660
torsemide	C0022661
torsemide	C0023890
torsemide	C0027726
torsemide	C0034063
trandolapril	C0011881
trandolapril	C0018802
trandolapril	C0020538
trandolapril	C0242698
travoprost	C0017612
trovafloxacin	C0004669
trovafloxacin	C0006277
trovafloxacin	C0008149
trovafloxacin	C0014836
trovafloxacin	C0018081
trovafloxacin	C0018482
trovafloxacin	C0022729
trovafloxacin	C0004626
trovafloxacin	C0033817
trovafloxacin	C0037199
trovafloxacin	C0038160
trovafloxacin	C0038395
valacyclovir	C0019342
valacyclovir	C0019345
valacyclovir	C0019360
valganciclovir	C0162526
valganciclovir	C0206178
valrubicin	C0005695
valsartan	C0011881
valsartan	C0018802
valsartan	C0020538
valsartan	C0242698
venlafaxine	C1263846
venlafaxine	C0004352
venlafaxine	C0011581
venlafaxine	C0015674
venlafaxine	C0028768
venlafaxine	C0030193
vinorelbine	C1458155
vinorelbine	C0007131
vinorelbine	C0019829
vinorelbine	C0919267
voriconazole	C0004030
zafirlukast	C0004096
zileuton	C0004096
ziprasidone	C0036341
ziprasidone	C0040517
zolpidem	C0851578
zonisamide	C0014547
