#,context,disease_name,drug_name,workers_answers,medical_expert1,medical_expert2,medical_expert3,do_id,drug_brand_name,drug_id,label_id,sheet,expert_consensus,inter_agree_experts,medical_expert4,"Final 
(closest option)"
56.0,"
                     
Parenteral:

                     
Sedatives.

Hypnotics, for the short-term treatment of insomnia, since they appear to lose their effectiveness for sleep induction and sleep maintenance after 2 weeks (See ‰ÛÏ
Clinical Pharmacology
Preanesthetics.

Anticonvulsant, in anesthetic doses, in the emergency control of certain acute convulsive episodes, e.g., those associated with status epilepticus, cholera, eclampsia, meningitis, tetanus, and toxic reactions to strychnine or local anesthetics.
",ECLAMPSIA,Pentobarbital,"indication_symptomatic_relief
indication_symptomatic_relief
indication_treatment",Indication: Symptomatic Relief,Indication: Treatment,Indication: Symptomatic Relief,DOID_13593,,DB00312,ba9a6d07-599a-410d-95d4-83e2ae663c35.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
57.0,"Azelastine hydrochloride nasal spray is indicated for the treatment of the symptoms of seasonal allergic rhinitis in adults and pediatric patients 5 years and older, and for the treatment of the symptoms of vasomotor rhinitis in adults and adolescent patients 12 years and older.
Azelastine hydrochloride nasal spray is an H1-receptor antagonist indicated for the treatment of the symptoms of seasonal allergic rhinitis in adults and pediatric patients 5 years and older and for the treatment of the symptoms of vasomotor rhinitis in adults and adolescent patients 12 years and older. (
1",RHINITIS,AZELASTINE,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_4483,,DB00972,50bc8185-bcd7-20a7-abe8-cf06810e6a79.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
58.0,"Fexofenadine hydrochloride is an H1-receptor antagonist indicated for:
‰Û¢ Relief of symptoms associated with seasonal allergic rhinitis in patients 6 years of age and older (
1.1)
‰Û¢ Treatment of uncomplicated skin manifestations of chronic idiopathic urticaria in patients 6 years of age and older (
1.2)
Fexofenadine hydrochloride tablets are indicated for the relief of symptoms associated with seasonal allergic rhinitis in adults and children 6 years of age and older. 
Fexofenadine hydrochloride tablets are indicated for treatment of uncomplicated skin manifestations of chronic idiopathic urticaria in adults and children 6 of age and older .",RHINITIS,FEXOFENADINE,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_4483,,DB00950,2db62c07-21be-4378-82fc-a1bd9dc6e3ba.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
59.0,"Carefully consider the potential benefits and risks of etodolac extended-release tablets, USP and other treatment options before deciding to use etodolac extended-release tablets, USP. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see 

                        
WARNINGS
Etodolac extended-release tablets, USP are indicated:
*åÊåÊåÊ For relief of signs and symptoms of juvenile arthritis
*åÊåÊåÊ For relief of the signs and symptoms of rheumatoid arthritis
*åÊåÊåÊ For relief of the signs and symptoms of osteoarthritis",ARTHRITIS,ETODOLAC,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_848,,DB00749,8bc073da-7e01-4e0f-91bf-e5440b31bd1f.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
60.0,"Bexarotene capsules are indicated for the treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy. 
Bexarotene capsules are a retinoid indicated for the treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy.åÊ
(1)",LYMPHOMA,BEXAROTENE,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Indication: Treatment,Indication: Treatment,DOID_0060058,,DB00307,8102cbe3-c43e-4e49-bd13-2acbe511c093.xml,indication_symptomatic_relief,Indication: Treatment,2,Indication: Treatment,
61.0,"Flavoxate hydrochloride tablets are indicated for symptomatic relief of dysuria, urgency, nocturia, suprapubic pain, frequency and incontinence as may occur in cystitis, prostatitis, urethritis, urethrocystitis/ urethrotrigonitis. Flavoxate hydrochloride tablets are not indicated for definitive treatment, but are compatible with drugs used for the treatment of urinary tract infections.",CYSTITIS,Flavoxate,"indication_symptomatic_relief
indication_symptomatic_relief
effect",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_1679,,DB01148,34c3850c-1be2-4a78-9339-b2647a94cc3a.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
62.0,"Flavoxate hydrochloride tablets are indicated for symptomatic relief of dysuria, urgency, nocturia, suprapubic pain, frequency and incontinence as may occur in cystitis, prostatitis, urethritis, urethrocystitis/ urethrotrigonitis. Flavoxate hydrochloride tablets are not indicated for definitive treatment, but are compatible with drugs used for the treatment of urinary tract infections.",URETHRITIS,Flavoxate,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_1343,,DB01148,34c3850c-1be2-4a78-9339-b2647a94cc3a.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
63.0,"[""KORLYM (mifepristone) is a cortisol receptor blocker indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and have failed surgery or are not candidates for surgery.\n"", 'LIMITATIONS OF USE:\n', '\n                     ', ""KORLYM should not be used in the treatment of patients with type 2 diabetes unless it is secondary to Cushing's syndrome.\n"", ""KORLYM (mifepristone) is a cortisol receptor blocker indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and have failed surgery or are not candidates for surgery. ("", '1', None, None, '\n                           ', '\n                              ', 'Important Limitations of Use:']",CUSHING'S SYNDROME,MIFEPRISTONE,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Treatment,DOID_446,,DB00834,3599ebc6-5883-4986-8f76-61accb5ec415.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,0,,Indication: Symptomatic Relief
64.0,"ZONTIVITY is a protease-activated receptor-1 (PAR-1) antagonist indicated for the reduction of thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or with peripheral arterial disease (PAD). ZONTIVITY has been shown to reduce the rate of a combined endpoint of cardiovascular death, MI, stroke, and urgent coronary revascularization. (
1.1
ZONTIVITY

                              
",MYOCARDIAL INFARCTION,vorapaxar,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Indication: Treatment,Indication: Symptomatic Relief,DOID_5844,,DB09030,d01926a0-45d9-425e-8659-34b33664ed55.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
65.0,"Panretin gel is indicated for topical treatment of cutaneous lesions in patients with AIDS-related Kaposi‰Ûªs sarcoma.  Panretin gel is not indicated when systemic anti-KS therapy is required (e.g., more than 10 new KS lesions in the prior month, symptomatic lymphedema, symptomatic pulmonary KS, or symptomatic visceral involvement).  There is no experience to date using Panretin gel with systemic anti-KS treatment.",AIDS,ALITRETINOIN,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,IDK,DOID_635,,DB00523,50ab2ed7-651c-4952-91d6-5011709ae429.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,0,,Indication: Symptomatic Relief
66.0,"Clotrimazole lozenges are indicated for the local treatment of 
oropharyngeal candidiasis. The diagnoses should be confirmed by a KOH smear 
and/or culture prior to treatment.
Clotrimazole lozenges are also indicated prophylactically to reduce the 
incidence of oropharyngeal candidiasis in patients immunocompromised by 
conditions that include chemotherapy, radiotherapy, or steroid therapy utilized 
in the treatment of leukemia, solid tumors, or renal transplantation. There are 
no data from adequate and well-controlled trials to establish the safety and 
efficacy of this product for prophylactic use in patients immunocompromised by 
etiologies other than those listed in the previous sentence. (See DOSAGE AND ADMINISTRATION.)",LEUKEMIA,CLOTRIMAZOLE,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_1240,,DB00257,abf93477-f551-4e30-ba94-b2981a9d90cd.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
67.0,"Flavoxate hydrochloride tablets are indicated for symptomatic relief of dysuria, urgency, nocturia, suprapubic pain, frequency and incontinence as may occur in cystitis, prostatitis, urethritis, urethrocystitis/ urethrotrigonitis. Flavoxate hydrochloride tablets are not indicated for definitive treatment, but are compatible with drugs used for the treatment of urinary tract infections.",PROSTATITIS,Flavoxate,"indication_symptomatic_relief
indication_treatment
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Symptomatic Relief,DOID_14654,,DB01148,34c3850c-1be2-4a78-9339-b2647a94cc3a.xml,indication_symptomatic_relief,Indication: Symptomatic Relief,2,Indication: Symptomatic Relief,
69.0,"Patients should not be treated with epirubicin hydrochloride injection if they have any of the following conditions:
 Cardiomyopathy and/or heart failure, recent myocardial infarction or severe arrhythmias [see 
 Warnings and Precautions (5.3)
 Previous treatment with maximum cumulative dose of anthracyclines [see 
 Warnings and Precautions (5)
 Hypersensitivity to epirubicin hydrochloride injection, other anthracyclines, or anthracenediones [see 
 Adverse Reactions (6.2)
  Patients should not be treated with epirubicin hydrochloride injection if they have any of the following conditions: baseline neutrophil countÃƒÂ¥Ãƒ_less thanÃƒÂ¥Ãƒ_1500 cells/mm
 3; 
 4",CARDIOMYOPATHY,Epirubicin Hydrochloride,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_0050700,,DB00445,../DailyMedExtracter/prescription/temp_xml/4f954c6a-221b-494c-aea7-1a8c1b65e424.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
70.0,"Tolterodine tartrate extended-release capsules are contraindicated in patients with urinary retention, gastric retention, or uncontrolled narrow-angle glaucoma. Tolterodine tartrate extended-release capsulesare also contraindicated in patients with known hypersensitivity to the drug or its ingredients, or to fesoterodine fumarate extended-release tablets which, like tolterodine tartrate extended-release capsules, are metabolized to 5-hydroxymethyl tolterodine [ ]
  
 see
 ,
  
 WARNINGS AND PRECAUTIONS (5.2)
 (5.3)
 (5.4)
 .
 Tolterodine tartrate extended-release capsules are contraindicated in patients with urinary retention, gastric retention, or uncontrolled narrow-angle glaucoma. Tolterodine tartrate extended-release capsules are also contraindicated in patients with known hypersensitivity to the drug or its ingredients, or to fesoterodine fumarate extended-release tablets which, like tolterodine tartrate extended-release capsules, are metabolized to 5-hydroxymethyl tolterodine. ( )
  
 4",GLAUCOMA,Tolterodine Tartrate,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_1686,,DB01036,../DailyMedExtracter/prescription/temp_xml/448e25c6-3351-4d69-a0c4-502a53d266c8.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
72.0,"In patients who are hypersensitive to the drug or its ingredients. Phenazopyridine is contraindicated in patients with renal insufficiency, severe liver disease, severe hepatitis or pyelonephritis of pregnancy. 
 It should be used cautiously in the presence of GI disturbances.",HEPATITIS,Phenazopyridine Hydrochloride,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_2237,,DB01438,../DailyMedExtracter/prescription/temp_xml/7e5431d9-b3cd-72a6-e053-2a91aa0af749.xml,indication_symptomatic_relief,Contraindication,3,,
74.0,"Pyrazinamide is contraindicated in persons:
 
  
 with severe hepatic damage.
  
 who have shown hypersensitivity to it.
  
 with acute gout.",GOUT,Pyrazinamide,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_13189,,DB00339,../DailyMedExtracter/prescription/temp_xml/81b8609e-208c-1797-e053-2991aa0ac0ad.xml,indication_symptomatic_relief,Contraindication,3,,
75.0,"Administration is contraindicated in patients with any of the 
 following: 
 ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Hypersensitivity to cycloserine
 ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Epilepsy
 ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Depression, severe anxiety, or psychosis
 ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Severe renal insufficiency
 ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Excessive concurrent use of alcohol",ANXIETY,SEROMYCIN,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_2030,,DB00260,../DailyMedExtracter/prescription/temp_xml/b96be2a2-b801-45d0-99ca-001ab54caf51.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
77.0,"[None, 'Eszopiclone is contraindicated in patients with known hypersensitivity to eszopiclone. Hypersensitivity reactions include anaphylaxis and angioedema ', '[see Warnings and Precautions (', '5.2', None, 'Known hypersensitivity to eszopiclone (', '4']",ANGIOEDEMA,ESZOPICLONE,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_1558,,DB00402,../DailyMedExtracter/prescription/temp_xml/8664ca9c-b06f-4e2e-9864-1c7f01d5143e.xml,indication_symptomatic_relief,Contraindication,3,,
79.0,"Anuria.
 
 Hypersensitivity to any component of this product or to other sulfonamide-derived drugs.",ANURIA,Chlorothiazide Sodium,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,IDK,DOID_2983,,DB00880,../DailyMedExtracter/prescription/temp_xml/1dab3243-f1dc-467d-b341-72aea14a0cce.xml,indication_symptomatic_relief,Contraindication,0,,Contraindication
80.0,Pindolol tablets are contraindicated in: 1) bronchial asthma; 2) overt cardiac failure; 3) cardiogenic shock; 4) second and third degree heart block; 5) severe bradycardia. (See WARNINGS.),ASTHMA,Pindolol,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_2841,,DB00960,../DailyMedExtracter/prescription/temp_xml/9d26b0a5-1482-4d81-9c05-a410f2348306.xml,indication_symptomatic_relief,Contraindication,3,,
81.0,"['\n ', 'Ocular or periocular infections (', '4.1', None, 'Glaucoma (', '4.2', None, 'Torn or ruptured posterior lens capsule (', '4.3', None, 'Hypersensitivity (', '4.4', '\n ', 'OZURDEX', '\n ', '', '\xa0', '\n ', 'OZURDEX', '\n ', '', '\n ', 'OZURDEX', '', 'OZURDEX', '', '\n ', 'OZURDEX', '\n ', '', '[see Adverse Reactions (', '\n ', '6', ')]']",GLAUCOMA,OZURDEX,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_1686,,DB01234,../DailyMedExtracter/prescription/temp_xml/8d4c99e3-44e1-484d-809f-6611582eb3e0.xml,indication_symptomatic_relief,Contraindication,3,,
82.0,"Known hypersensitivity or idiosyncratic reactions to 
 sympathomimetics.
 Advanced arteriosclerosis, symptomatic cardiovascular disease, moderate and 
 severe hypertension, hyperthyroidism, and glaucoma.
 Highly nervous or agitated patients.
 Patients with a history of drug abuse.
 Patients taking other CNS stimulants, including monoamine oxidase inhibitors
 Tolerance to the anorectic effect of phendimetrazine develops 
 within a few weeks. When this occurs, its use should be discontinued; the 
 maximum recommended dose should not be exceeded.
 Use of phendimetrazine tartrate within 14 days following the administration 
 of monoamine oxidase inhibitors may result in a hypertensive crisis.
 Abrupt cessation of administration following prolonged high dosage results in 
 extreme fatigue and depression. Because of the effect on the central nervous 
 system, phendimetrazine may impair the ability of the patient to engage in 
 potentially hazardous activities such as operating machinery or driving a motor 
 vehicle; the patient should therefore be cautioned accordingly.",GLAUCOMA,Phendimetrazine Tartrate,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_1686,,DB01579,../DailyMedExtracter/prescription/temp_xml/281377de-81c3-4fec-96e9-7b426190c3f9.xml,indication_symptomatic_relief,Contraindication,3,,
83.0,"[None, 'Hypersensitivity to HydrALAZINE ; coronary artery disease; mitral valvular rheumatic heart disease.']",CORONARY ARTERY DISEASE,Hydralazine Hydrochloride,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_3393,,DB01275,../DailyMedExtracter/prescription/temp_xml/26a904df-7070-489e-b0e0-67167a817944.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
84.0,"['Propafenone hydrochloride is contraindicated in the following circumstances:', '\n ', 'Heart failure', None, 'Cardiogenic shock', None, 'Sinoatrial, atrioventricular, and intraventricular disorders of impulse generation or conduction\xa0(e.g., sick sinus node syndrome, AV block) in the absence of an artificial pacemaker', None, 'Known Brugada Syndrome', None, 'Bradycardia', None, 'Marked hypotension', None, 'Bronchospastic disorders or severe obstructive pulmonary disease', None, 'Marked electrolyte imbalance', '\n ', 'Heart failure (', '4', 'Cardiogenic shock (', '4', 'Sinoatrial, atrioventricular, and intraventricular disorders of impulse generation or conduction in the absence of pacemaker (', '4', None, 'Known Brugada Syndrome (', '4', None, 'Bradycardia (', '4', 'Marked hypotension (', '4', 'Bronchospastic disorders and severe obstructive pulmonary disease (', '4', None, 'Marked electrolyte imbalance (', '4']",BRUGADA SYNDROME,Propafenone HCl,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_0050451,,DB01182,../DailyMedExtracter/prescription/temp_xml/71d5cee6-245f-4d4a-8a59-e555c3ca4573.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
85.0,"Hypersensitivity to bromocriptine or to any of the excipients of bromocriptine mesylate tablets or capsules, uncontrolled hypertension and sensitivity to any ergot alkaloids. In patients being treated for hyperprolactinemia, bromocriptine mesylate tablets and capsules should be withdrawn when pregnancy is diagnosed (see PRECAUTIONS: Hyperprolactinemic States). In the event that bromocriptine is reinstituted to control a rapidly expanding macroadenoma (see PRECAUTIONS: Hyperprolactinemic States)and a patient experiences a hypertensive disorder of pregnancy, the benefit of continuing bromocriptine must be weighed against the possible risk of its use during a hypertensive disorder of pregnancy. When bromocriptine is being used to treat acromegaly, prolactinoma, or ParkinsonÃ¢â‚¬Â°Ãƒâ€ºÃ‚Âªs disease in patients who subsequently become pregnant, a decision should be made as to whether the therapy continues to be medically necessary or can be withdrawn. If it is continued, the drug should be withdrawn in those who may experience hypertensive disorders of pregnancy (including eclampsia, preeclampsia, or pregnancy-induced hypertension) unless withdrawal of bromocriptine is considered to be medically contraindicated.
 The drug should not be used during the postpartum period in women with a history of coronary artery disease and other severe cardiovascular conditions unless withdrawal is considered medically contraindicated. If the drug is used in the postpartum period the patient should be observed with caution.",CORONARY ARTERY DISEASE,Bromocriptine Mesylate,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_3393,,DB01200,../DailyMedExtracter/prescription/temp_xml/184b35b9-920f-4fea-a6c8-cdc6c38fa7df.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
86.0,"Cleviprex is contraindicated in patients with:
 
  
 Allergy to soy or eggs 
 (4.1)
 Defective lipid metabolism 
 (4.2)
 Severe aortic stenosis 
 (4.3)
 Cleviprex is contraindicated in patients with allergies to soybeans, soy products, eggs, or egg products. 
 Cleviprex is contraindicated in patients with defective lipid metabolism such as pathologic hyperlipemia, lipoid nephrosis, or acute pancreatitis if it is accompanied by hyperlipidemia.
 Cleviprex is contraindicated in patients with severe aortic stenosis because afterload reduction can be expected to reduce myocardial oxygen delivery.",ACUTE PANCREATITIS,Cleviprex,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,IDK,DOID_2913,,DB04920,../DailyMedExtracter/prescription/temp_xml/84cd997c-d395-4231-af87-92745009da0b.xml,indication_symptomatic_relief,Contraindication,0,,Contraindication
87.0,"Antepartum use of Pitocin is contraindicated in any of the following circumstances: 
 
  
 Where there is significant cephalopelvic disproportion;
 In unfavorable fetal positions or presentations, such as transverse lies, which are undeliverable without conversion prior to delivery;
 In obstetrical emergencies where the benefit-to-risk ratio for either the fetus or the mother favors surgical intervention;
 In fetal distress where delivery is not imminent;
 Where adequate uterine activity fails to achieve satisfactory progress;
 Where the uterus is already hyperactive or hypertonic;
 In cases where vaginal delivery is contraindicated, such as invasive cervical carcinoma, active herpes genitalis, total placenta previa, vasa previa, and cord presentation or prolapse of the cord;
 In patients with hypersensitivity to the drug.",CARCINOMA,Pitocin,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",IDK,Inconsistent,IDK,DOID_305,,DB00107,../DailyMedExtracter/prescription/temp_xml/31b91b2c-ec6b-4b84-b017-0ee25bc576d8.xml,indication_symptomatic_relief,Contraindication,0,,Contraindication
90.0,"Nadolol tablets are contraindicated in bronchial asthma, sinus bradycardia and greater than first degree conduction block, cardiogenic shock, and overt cardiac failure (see 
 
  
 WARNINGS",ASTHMA,NADOLOL,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_2841,,DB01203,../DailyMedExtracter/prescription/temp_xml/4c4790bc-780e-47d1-9e0d-39c8f6962b86.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
91.0,"Miglitol tablets are contraindicated in patients with:
 
  
 Diabetic ketoacidosis
 Inflammatory bowel disease, colonic ulceration, or partial intestinal obstruction, and in patients predisposed to intestinal obstruction
 Chronic intestinal diseases associated with marked disorders of digestion or absorption, or with conditions that may deteriorate as a result of increased gas formation in the intestine
 Hypersensitivity to the drug or any of its components",DIABETIC KETOACIDOSIS,Miglitol,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,Contraindication,DOID_1837,,DB00491,../DailyMedExtracter/prescription/temp_xml/17a6135f-ebee-4943-a5bf-b35df3d1ca27.xml,indication_symptomatic_relief,Contraindication,2,Contraindication,
92.0,"['Rizatriptan benzoate tablets are contraindicated in patients with: ', '\n ', 'Ischemic coronary artery disease (angina pectoris, history of myocardial infarction, or documented silent ischemia), or other significant underlying cardiovascular disease \n \n \n ', '[see \n \n \n ', 'Warnings and Precautions (5.1)', ""Coronary artery vasospasm including Prinzmetal's angina \n \n \n "", '[see \n \n \n ', 'Warnings and Precautions (5.1)', 'History of stroke or transient ischemic attack (TIA) \n \n \n ', '[see \n \n \n ', 'Warnings and Precautions (5.4)', 'Peripheral vascular disease (PVD)\n \n \n ', ' [see \n \n \n ', 'Warnings and Precautions (5.5)', 'Ischemic bowel disease \n \n \n ', '[see \n \n \n ', 'Warnings and Precautions (5.5)', 'Uncontrolled hypertension \n \n \n ', '[see \n \n \n ', 'Warnings and Precautions (5.8)', 'Recent use (i.e., within 24 hours) of another 5-HT\n \n \n ', '1', ' [see \n \n \n ', 'Drug Interactions (7.2', '7.3)', 'Hemiplegic or basilar migraine. ', 'Concurrent administration or recent discontinuation (i.e., within 2 weeks) of a MAO-A inhibitor \n \n \n ', '[see\xa0\n \n \n ', 'Drug Interactions (7.5)', 'Clinical Pharmacology (12.3)', 'Hypersensitivity to rizatriptan benzoate tablets (angioedema and anaphylaxis seen) \n \n \n ', '[see \n \n \n ', 'Adverse Reactions (6.2)', '\n ', 'History of ischemic heart disease or coronary artery vasospasm (\n \n \n ', '4', 'History of stroke or transient ischemic attack (\n \n \n ', '4', 'Peripheral vascular disease (\n \n \n ', '4', 'Ischemic bowel disease (\n \n \n ', '4', 'Uncontrolled hypertension (\n \n \n ', '4', 'Recent (within 24 hours) use of another 5-HT\n \n \n ', '1', '4', 'Hemiplegic or basilar migraine (\n \n \n ', '4', 'MAO-A inhibitor used in the past 2 weeks (\n \n \n ', '4', 'Hypersensitivity to rizatriptan \n \n \n ', None, None, '4']",CORONARY ARTERY VASOSPASM,Rizatriptan Benzoate,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_11840,,DB00953,../DailyMedExtracter/prescription/temp_xml/2086f746-f922-1af1-e054-00144ff88e88.xml,indication_symptomatic_relief,Contraindication,3,,
93.0,"Hypersensitivity to any component of this product.
 Dactinomycin for injection should not be given at or about the time of infection with chickenpox or herpes zoster because of the risk of severe generalized disease which may result in death.",HERPES ZOSTER,Dactinomycin,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Contraindication,Contraindication,Contraindication,DOID_8536,,DB00970,../DailyMedExtracter/prescription/temp_xml/5e1a4e0b-d686-420b-e053-2a91aa0a57ee.xml,indication_symptomatic_relief,Contraindication,3,,
96.0,"Glaucoma; obstructive uropathy (for example, bladder neck obstruction due to prostatic hypertrophy); obstructive disease of the gastrointestinal tract (as in achalasia, pyloroduodenal stenosis); paralytic ileus, intestinal atony of elderly or debilitated patients; unstable cardiovascular status in acute hemorrhage; severe ulcerative colitis; toxic megacolon complicating ulcerative colitis; myasthenia gravis and myocardial ischemia.",COLITIS,Levsin,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,IDK,DOID_0060180,,DB00424,../DailyMedExtracter/prescription/temp_xml/7d5bdc22-6926-4c95-9029-ed6f59d9f14f.xml,indication_symptomatic_relief,Contraindication,0,,Contraindication
