DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
348	betamethasone	Idiopathic thrombocytopenic purpura	C0043117	32273002	DOID:8924
1201	flunisolide	Asthma management	C1318955	406162001	
1201	flunisolide	Allergic rhinitis	C2607914	61582004	
1388	hydrocortisone	Infection by larvae of Trichinella spiralis	C0040896	88264003	DOID:9784
1832	mometasone furoate	Eruption of skin	C0015230	271807003	DOID:0050486
1892	nelarabine	Precursor T-cell lymphoblastic lymphoma	C1292758	421246008	
1967	norfloxacin	Diarrhea due to E. Coli			
1967	norfloxacin	Acute maxillary sinusitis	C0155804	68272006	DOID:2050
1967	norfloxacin	Proteus urinary tract infection	C0577709	301012009	
450	butoconazole	Candidal vulvovaginitis	C0700345	72605008	DOID:2272
454	butorphanol	Pain	C0030193	22253000	
499	carbinoxamine	Itching of skin	C0033774	418363000	
492	carbenicillin	Morganella Morganii Urinary Tract Infection			
546	cefotaxime	Proteus Peritonitis			
542	cefonicid	Lower respiratory tract infection	C0149725	50417007	
527	cefamandole	Bacterial urinary infection	C0729524	312124009	
559	ceftazidime	H. Influenzae Meningitis			
1513	itraconazole	Aspergillosis	C0004030	65553006	DOID:13564
1452	iodamide	Aortography	C0003515	54640009	
1569	levofloxacin	Enterococcus Urinary Tract Infection			
1569	levofloxacin	Pneumococcal pneumonia	C0155862	233607000	
4664	benzoic acid	Induratio penis plastica	C0030848	1335005	DOID:8616
4528	ferrous sulfate	Vitamin deficiency	C1510471	85670002	
26	fluorouracil	Metastasis from malignant tumor of colon	C1282500	314998002	
66	acetylcysteine	Amyloidosis	C0002726	17602002	DOID:9120
1967	norfloxacin	Prevotella Pelvic Cellulitis			
1968	norgestimate	Atrophic vulva	C0156393	248861000	DOID:14275
1967	norfloxacin	Gardnerella Pelvic Cellulitis			
2034	oxymorphone	Pain	C0030193	22253000	
2029	oxycodone	Chronic Pain with Opioid Tolerance			
2006	oxacillin	Continuation Therapy for Chronic Osteomyelitis			
2132	pheniramine	Influenza-like symptoms	C0392171	315642008	
3487	pramocaine	Tinea pedis	C0040259	6020002	DOID:12403
3333	meclocycline	Gonorrhea of rectum	C0275665	42746002	
4212	sodium sulfate	Incomplete passage of stool	C0426639	249515001	
4213	hydrocortisone acetate	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
1547	lansoprazole	NSAID-Induced Gastric Ulcer			
1605	loratadine	Seasonal allergic rhinitis	C0018621	367498001	
138	alprostadil	Impotence	C0242350	397803000	
198	ampicillin	Bacteroides Peritonitis			
197	amphotericin B	Gonorrhea	C0018081	15628003	DOID:7551
237	arbutamine	Cardiac Function Studies			
2082	benzylpenicillin	Necrotizing Fasciitis Streptococcus Infection			
2068	paroxetine	Major depressive disorder	C1269683	370143000	
2134	phenobarbital	Epilepsy	C0014544	84757009	DOID:1826
2149	phenylpropanolamine	Nasal congestion	C0027424	68235000	
4201	calcium chloride	Skin Grafting Adjunct			
4476	ammonium lactate	Dry skin	C0151908	16386004	
4456	hydrocortisone succinate	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
4456	hydrocortisone succinate	Asthma	C0004096	195967001	DOID:2841
4493	alclometasone dipropionate	Atopic dermatitis	C0011615	24079001	DOID:3310
4501	armodafinil	Narcolepsy	C0027404	60380001	DOID:8986
1603	loracarbef	Urinary tract infectious disease	C0042029	68566005	
1765	naltrexone	Severe Pain with Opioid Tolerance			
1768	methylprednisolone	Granuloma annulare	C0085074	65508009	DOID:3777
1768	methylprednisolone	Pruritus of genital organs	C0033777	267802000	
1742	methdilazine	Dermatographic urticaria	C0343065	7632005	DOID:743
1800	miconazole	Candidal vulvovaginitis	C0700345	72605008	DOID:2272
1832	mometasone furoate	Contact dermatitis	C0011616	40275004	DOID:2773
279	aztreonam	Haemophilus influenzae pneumonia	C0276026	70036007	
279	aztreonam	Proteus urinary tract infection	C0577709	301012009	
279	aztreonam	Infection due to Enterobacteriaceae	C0014347	128945009	
279	aztreonam	Bacterial peritonitis	C0341503	197171003	
276	azithromycin	Acute bacterial sinusitis	C0275556	75498004	
328	benzoyl peroxide	Acne vulgaris	C0001144	88616000	
348	betamethasone	Primary cutaneous T-cell lymphoma	C0079773	400122007	
328	benzoyl peroxide	Eruption of skin	C0015230	271807003	DOID:0050486
349	betamethasone acetate	Systemic lupus erythematosus	C0024141	55464009	DOID:9074
353	betamethasone dipropionate	Eruption of skin	C0015230	271807003	DOID:0050486
353	betamethasone dipropionate	Primary cutaneous T-cell lymphoma	C0079773	400122007	
408	brompheniramine	Allergic rhinitis	C2607914	61582004	
2187	piperacillin	Pseudomonas Aeruginosa Osteomyelitis			
2187	piperacillin	Peptostreptococcus Pelvic Inflammatory Disease			
2148	phenylpropanol	Nasal congestion	C0027424	68235000	
2245	prednisolone	Pemphigus	C0030807	65172003	DOID:9182
2239	pravastatin	Familial hypercholesterolemia - heterozygous	C0342882	238079002	
2245	prednisolone	Ocular rosacea	C0406486	200933006	
2302	propofol	Sedation in Intubated Patients			
4454	testosterone cypionate	LHRH Deficiency			
4454	testosterone cypionate	Klinefelter's syndrome, XXY	C0022735	405769009	DOID:1921
4281	magnesium citrate	Hypocalcemia	C0020598	5291005	
1821	mitoxantrone	Metastatic Prostate Carcinoma			
1854	moxifloxacin	Streptococcus pyogenes infection	C0554628	302809008	
1967	norfloxacin	Otitis externa	C0029878	3135009	DOID:9463
1981	ofloxacin	Haemophilus Influenzae Chronic Bronchitis			
1967	norfloxacin	Urinary tract infectious disease	C0042029	68566005	
1967	norfloxacin	Rhinoscleroma	C0035468	72409005	DOID:11336
439	secbutabarbital	Insomnia	C0917801	193462001	
463	caffeine	Joint pain	C0003862	57676002	
470	camphor	Backache	C0004604	161891005	
494	pentoxyverine	Vasomotor rhinitis	C0035460	8229003	DOID:4730
492	carbenicillin	Urinary tract infectious disease	C0042029	68566005	
522	carvedilol	Left ventricular cardiac dysfunction	C1997351	429589006	
537	cefixime	Acute bacterial bronchitis	C0339933	233598009	
530	cefazolin	Genitourinary Tract Infections			
527	cefamandole	Lower respiratory tract infection	C0149725	50417007	
2267	primidone	Epilepsy	C0014544	84757009	DOID:1826
2406	rosuvastatin	Familial hypercholesterolemia - heterozygous	C0342882	238079002	
2406	rosuvastatin	Cerebrovascular accident	C0038454	230690007	DOID:6713
105	salbutamol	Chronic Obstructive Pulmonary Disease with Bronchospasms			
1967	norfloxacin	Prevotella Septic Abortion			
1981	ofloxacin	Female genital tract infection	C1263758	125585007	
1962	norethisterone	Menopausal flushing	C0600142	198436008	
1950	nitrofurazone	Staphylococcus Aureus Urinary Tract Infection			
2041	oxytetracycline	Chlamydia trachomatis infection of genital structure	C1997322	428015005	
2041	oxytetracycline	Syphilis	C0039128	76272004	
559	ceftazidime	Osteomyelitis due to Staphylococcus aureus	C1997728	428783003	
556	cefprozil	Moraxella Catarrhalis Acute Otitis Media			
556	cefprozil	Pneumococcal Acute Otitis Media			
547	cefotetan	Staphylococcus Endometritis			
550	cefoxitin	Streptococcus pyogenes infection	C0554628	302809008	
563	ceftizoxime	Klebsiella cystitis	C0520775	60867007	
563	ceftizoxime	Staphylococcal pneumonia	C0032308	22754005	
563	ceftizoxime	Pneumonia due to Streptococcus	C0155862	34020007	
574	cefalotin	Female genital tract infection	C1263758	125585007	
575	cefapirin	Infection due to Escherichia coli	C0014836	71057007	
2514	sulfamethoxazole	Bacterial urinary infection	C0729524	312124009	
2466	sparfloxacin	Haemophilus influenzae pneumonia	C0276026	70036007	
2611	tetracycline	Inclusion conjunctivitis	C0009770	266109000	DOID:13800
2611	tetracycline	Neonatal conjunctivitis	C0029076	34298002	DOID:9699
157	amikacin	Meningitis due to Klebsiella mobilis	C1719906	420585007	
157	amikacin	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
198	ampicillin	Sinusitis	C0037199	36971009	
242	aripiprazole	Agitation associated with Schizophrenia			
268	azatadine	Sneezing	C0037383	76067001	
268	azatadine	Common cold	C0009443	82272006	DOID:10459
2129	phenindamine	Nasal discharge	C1260880	64531003	
2083	phenoxymethylpenicillin	Streptococcus pyogenes infection	C0554628	302809008	
2044	paclitaxel	Malignant tumor of ovary	C1140680	363443007	DOID:2394
2090	pentamidine	Pneumocystosis jiroveci pneumonia	C0032305	415125002	DOID:11339
2055	calcium pantothenate	Ascorbic acid deficiency	C0003969	76169001	DOID:13724
2140	phentermine	Prevention of Hypotension During Spinal Anesthesia			
2150	phenyltoloxamine	Nasal discharge	C1260880	64531003	
589	chloramphenicol	Otitis externa	C0029878	3135009	DOID:9463
616	chlorphenamine	Nasal congestion	C0027424	68235000	
624	chlortetracycline	Trachoma	C0040592	2576002	DOID:11265
659	ciprofloxacin	Skin and Skin Structure Proteus Infection			
640	cilastatin	Acute exacerbation of chronic bronchitis	C0856695	425748003	
669	clavulanic acid	Moraxella Catarrhalis Pneumonia			
668	clarithromycin	Bacterial pneumonia	C0004626	53084003	DOID:874
2725	triamcinolone	Bursitis	C0006444	84017003	DOID:2965
2725	triamcinolone	Humoral hypercalcemia of malignancy	C0149911	47709007	
2722	tretinoin	Mottle Hyperpigmentation			
2684	tobramycin	Allergic conjunctivitis	C0009766	473460002	DOID:11204
2648	tiagabine	Simple partial seizure	C0234974	117891000119100	
2727	triamcinolone diacetate	Articular gout	C0003868	48440001	DOID:13189
279	aztreonam	Pseudomonas Aeruginosa Bronchitis			
280	bacampicillin	Sinusitis	C0037199	36971009	
348	betamethasone	Erythroblastic Anemia			
323	benzocaine	Prevent Minor Bacterial Skin Infection			
349	betamethasone acetate	Contact dermatitis	C0011616	40275004	DOID:2773
348	betamethasone	Transfusion Reaction Urticaria			
349	betamethasone acetate	Idiopathic thrombocytopenic purpura	C0043117	32273002	DOID:8924
432	bupivacaine	Regional Anesthesia for Postoperative Pain			
2187	piperacillin	Skin and Skin Structure Bacteroides Fragilis Infection			
2187	piperacillin	Septicemia due to enterococcus	C0588233	310669007	
2245	prednisolone	Infective blepharitis	C0729587	312219000	
2243	prednicarbate	Granuloma annulare	C0085074	65508009	DOID:3777
2286	promethazine	General anesthesia	C0002915	50697003	
2267	primidone	Tonic-clonic seizure	C0494475	54200006	
692	clofazimine	Leprosy	C0023343	81004002	DOID:1024
681	clioquinol	Tinea pedis	C0040259	6020002	DOID:12403
734	cortisone acetate	Epicondylitis	C0014488	73583000	DOID:14087
734	cortisone acetate	Nephrotic syndrome	C0027726	52254009	DOID:1184
734	cortisone acetate	Bacterial keratitis	C0854211	314557000	
734	cortisone acetate	Iridocyclitis	C0022073	77971008	DOID:1407
749	cyclizine	Nasal congestion	C0027424	68235000	
769	cysteine	Atelectasis due to Mucous Obstruction			
2755	trimethoprim	Blepharoconjunctivitis	C0005743	68659002	DOID:2456
2835	nicotinic acid	Familial hypercholesterolemia - heterozygous	C0342882	238079002	
2815	verapamil	Acute coronary syndrome	C0948089	394659003	
2834	riboflavin	Mineral deficiency	C0687148	111379007	
2825	vincristine	Diffuse non-Hodgkin's lymphoma, large cell	C0079744	109969005	
2838	ergocalciferol	Glucocorticoid Induced Osteoporosis			
437	buspirone	Generalized anxiety disorder	C0270549	21897009	DOID:14320
489	carbamazepine	Simple partial seizure	C0234974	117891000119100	
465	calcipotriene	Scalp psoriasis	C0406326	238608008	
494	pentoxyverine	Rhinitis	C0035455	70076002	DOID:4483
527	cefamandole	Infection due to Staphylococcus aureus	C1318973	406602003	
533	cefdinir	Streptococcal tonsillitis	C0275804	41582007	
556	cefprozil	Haemophilus Influenzae Acute Otitis Media			
2424	scopolamine	Irritable bowel syndrome	C0022104	10743008	DOID:9778
842	dextromethorphan	Common cold	C0009443	82272006	DOID:10459
852	diazepam	Alcohol withdrawal syndrome	C0236663	191480000	
3017	benzalkonium	Minor Skin Wound Pain			
2856	zalcitabine	Human immunodeficiency virus infection	C0019693	86406008	DOID:526
2861	zidovudine	Human immunodeficiency virus infection	C0019693	86406008	DOID:526
559	ceftazidime	Bacterial pneumonia	C0004626	53084003	DOID:874
547	cefotetan	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
564	ceftriaxone	Bacterial septicemia	C0684256	10001005	
576	cefradine	Staphylococcal pneumonia	C0032308	22754005	
565	cefuroxime	Infection of bone	C2242472	111253001	
565	cefuroxime	Bacterial infection due to Klebsiella pneumoniae	C0343402	186435004	
594	chlordiazepoxide	Local anesthesia	C0002921	386761002	
158	amiloride	Hypokalemia Prevention			
191	amoxapine	Depressive disorder	C0011581	35489007	DOID:2848
197	amphotericin B	Chlamydia trachomatis infection of genital structure	C1997322	428015005	
257	atorvastatin	Arteriosclerotic vascular disease	C0003850	72092001	DOID:2349
224	antazoline	Sneezing	C0037383	76067001	
2041	oxytetracycline	Acute gonococcal cervicitis	C0153195	20943002	DOID:10615
1982	olanzapine	Agitation associated with Schizophrenia			
2082	benzylpenicillin	Pneumococcal Acute Otitis Media			
2082	benzylpenicillin	Streptococcal meningitis	C0154639	4510004	DOID:11574
2082	benzylpenicillin	Latent syphilis	C0039133	444150000	DOID:9531
2865	ziprasidone	Agitation associated with Schizophrenia			
3909	clindamycin phosphate	Pneumococcal pneumonia	C0155862	233607000	
3909	clindamycin phosphate	Streptococcal septicemia	C0152964	29577008	
4127	serine	Pulmonary tuberculosis	C0041327	154283005	DOID:2957
3520	rapacuronium	Skeletal Muscle Relaxation for Endotracheal Intubation			
1414	idarubicin	Acute promyelocytic leukemia, FAB M3	C0023487	110004001	DOID:0060318
4277	iron	Iron deficiency anemia	C0162316	87522002	
1700	mepivacaine	Administration of Local Anesthetic Nerve Block			
1710	mesalazine	Chronic ulcerative rectosigmoiditis	C0267390	52506002	
1659	medroxyprogesterone	Dysfunctional uterine bleeding	C0025874	19155002	
276	azithromycin	Chancroid	C0007947	266143009	DOID:13778
277	azlocillin	Bacterial septicemia	C0684256	10001005	
348	betamethasone	Scalp psoriasis	C0406326	238608008	
349	betamethasone acetate	Autoimmune hemolytic anemia	C0002880	413603009	DOID:718
353	betamethasone dipropionate	Pruritus ani	C0033775	90446007	
401	bromfenac	Pain	C0030193	22253000	
403	bromocriptine	Postencephalitic parkinsonism	C0030568	19972008	DOID:14332
2146	phenylephrine	Rectal pain	C0034886	77880009	
2139	phensuximide	Absence seizure	C0014553	79631006	DOID:1825
2150	phenyltoloxamine	Vasomotor rhinitis	C0035460	8229003	DOID:4730
2152	phenytoin	Tonic-clonic epilepsy	C0014549	352818000	DOID:7725
2187	piperacillin	Appendicitis	C0003615	74400008	DOID:8337
2187	piperacillin	Bacteroides Pneumonia			
2187	piperacillin	Complicated Skin and Skin Structure Staphylococcus Aureus Infection			
2245	prednisolone	Berylliosis	C0005138	8247009	DOID:10322
4210	oxaliplatin	Metastasis from malignant tumor of colon	C1282500	314998002	
4240	zinc oxide	Itching of skin	C0033774	418363000	
4149	doripenem	Complicated Urinary Tract Infections			
4169	ceftaroline fosamil	Infection due to Escherichia coli	C0014836	71057007	
4138	gentian violet	Candidal vulvovaginitis	C0700345	72605008	DOID:2272
1594	lomefloxacin	Urinary tract infectious disease	C0042029	68566005	
1768	methylprednisolone	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
1768	methylprednisolone	Synovitis	C0039103	416209007	DOID:2703
1738	methapyrilene	Allergic conjunctivitis	C0009766	473460002	DOID:11204
1738	methapyrilene	Anaphylaxis Adjunct			
432	bupivacaine	Regional Anesthesia for Ophthalmologic Surgery			
489	carbamazepine	Lennox-Gastaut syndrome	C0238111	230418006	
484	captopril	Diabetic renal disease	C0011881	127013003	
499	carbinoxamine	Urticaria	C0042109	126485001	
492	carbenicillin	Enterococcus Urinary Tract Infection			
546	cefotaxime	Clostridium Endometritis			
542	cefonicid	Proteus urinary tract infection	C0577709	301012009	
2243	prednicarbate	Eruption of skin	C0015230	271807003	DOID:0050486
2298	propiomazine	General anesthesia	C0002915	50697003	
2269	probucol	Hyperlipidemia	C0020473	55822004	DOID:1168
2370	reserpine	Psychotic disorder	C0033975	69322001	
4265	gentamicin	Synergy for Staphylococcal Endocarditis			
4265	gentamicin	Dacryocystitis	C0010930	85777005	DOID:9938
4265	gentamicin	Folliculitis	C0016436	13600006	DOID:4409
4245	methyl salicylate	Sprains and Strains			
4425	colistin	Klebsiella Infections			
4477	sodium citrate	Heartburn	C0018834	16331000	
4477	sodium citrate	Nasal congestion	C0027424	68235000	
4485	diflorasone diacetate	Primary cutaneous T-cell lymphoma	C0079773	400122007	
1813	minocycline	Actinomycotic infection	C0001261	11817007	DOID:8478
1790	metronidazole	Infection by Trichomonas	C0040921	56335008	DOID:1947
1865	nadolol	Hypertensive disorder	C0020538	38341003	DOID:10763
530	cefazolin	Pneumonia due to Streptococcus	C0155862	34020007	
559	ceftazidime	Neonatal meningitis	C0456107	276674008	
555	cefpodoxime proxetil	Staphylococcus Saprophyticus Urinary Tract Infection			
550	cefoxitin	Septicemia due to Escherichia coli	C0276088	9323009	
550	cefoxitin	Pelvic Inflammatory Disease with Neisseria Gonorrhea			
564	ceftriaxone	Escherichia coli meningitis	C0338395	192655005	
576	cefradine	Pharyngitis	C0031350	405737000	DOID:2275
571	cefalexin	Klebsiella Prostatitis			
565	cefuroxime	Streptococcus Pneumoniae Bronchitis			
2396	rocuronium	Muscle relaxation, function	C0026836	11977004	
2356	ramipril	Myocardial Infarction Prevention			
2424	scopolamine	Nasal congestion	C0027424	68235000	
2500	sulfadiazine	Skin ulcer	C0037299	46742003	
4383	calcium lactate	Postmenopausal osteoporosis	C0029458	102447009	
4290	magnesium sulfate	Hypomagnesemia	C0151723	190855004	
4507	halcinonide	Lichen simplex chronicus	C0149922	53891004	
4507	halcinonide	Seborrheic dermatitis	C0036508	50563003	DOID:8741
4510	magnesium salicylate	Dysmenorrhea	C0013390	266599000	
4515	magnesium gluconate	Constipation	C0009806	14760008	DOID:2089
4528	ferrous sulfate	Mineral deficiency	C0687148	111379007	
4625	ammonia	Seborrheic dermatitis	C0036508	50563003	DOID:8741
1981	ofloxacin	Complicated Skin and Skin Structure Proteus Infection			
1962	norethisterone	Atrophic vulva	C0156393	248861000	DOID:14275
2041	oxytetracycline	Infective otitis media	C0729586	312218008	
633	ciclesonide	Asthma management	C1318955	406162001	
671	clemastine	Urticaria	C0042109	126485001	
708	clopidogrel	Myocardial Reinfarction Prevention			
2459	sorafenib	Liver cell carcinoma	C2239176	109841003	
2466	sparfloxacin	Haemophilus Influenzae Bronchitis			
2495	sulconazole	Tinea corporis	C0040252	84849002	DOID:12179
2610	tetracaine	Itching of skin	C0033774	418363000	
2572	tazobactam	Peritonitis	C0031154	48661000	
2711	tramadol	Osteoarthritis	C0029408	396275006	DOID:381
2722	tretinoin	Acne vulgaris	C0001144	88616000	
39	acarbose	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
74	acetylsalicylic acid	Migraine	C0149931	37796009	DOID:6364
103	albendazole	Cerebral cysticercosis	C0338437	230215006	
192	amoxicillin	Pharyngitis	C0031350	405737000	DOID:2275
2028	oxybutynin	Increased Urinary Frequency			
2114	phenacemide	Epilepsy	C0014544	84757009	DOID:1826
2082	benzylpenicillin	Granulomatosis Infantiseptica			
2082	benzylpenicillin	Pulmonary actinomycosis	C0275566	21846001	
2044	paclitaxel	Ocular hypertension	C0028840	4210003	DOID:9282
734	cortisone acetate	Lichen simplex chronicus	C0149922	53891004	
734	cortisone acetate	Erythroblastic Anemia			
741	cromoglicic acid	Asthma	C0004096	195967001	DOID:2841
769	cysteine	Poisoning by acetaminophen	C0237963	70273001	
802	demeclocycline	Rickettsialpox	C0035597	75096007	DOID:11103
2656	ticarcillin	Infectious disease of abdomen	C1112209	128070006	
2646	levothyroxine	Malignant tumor of thyroid gland	C0007115	363478007	DOID:1781
2684	tobramycin	Complicated Proteus UTI			
2646	levothyroxine	Hyperlipidemia	C0020473	55822004	DOID:1168
2763	triprolidine	Urticaria	C0042109	126485001	
2727	triamcinolone diacetate	Severe adrenal insufficiency	C0151467	24867002	
2755	trimethoprim	Escherichia coli urinary tract infection	C0577708	301011002	
2759	trioxsalen	Skin Pigmentation Enhancement			
2726	triamcinolone acetonide	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
2835	nicotinic acid	Mixed hyperlipidemia	C0020474	267434003	DOID:13809
2815	verapamil	Prevention of Paroxysmal Supraventricular Tachycardia			
198	ampicillin	Staphylococcal pneumonia	C0032308	22754005	
197	amphotericin B	Syphilis	C0039128	76272004	
279	aztreonam	Citrobacter Peritonitis			
2168	pimecrolimus	Atopic dermatitis	C0011615	24079001	DOID:3310
2187	piperacillin	Bacteroides Peritonitis			
2187	piperacillin	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
2187	piperacillin	Skin and Skin Structure Enterococcus Infection			
2253	prednisone	Transplanted organ rejection	C0345468	213148006	
2245	prednisolone	Congenital hypoplastic anemia	C1260899	88854002	DOID:1339
2245	prednisolone	Bursitis	C0006444	84017003	DOID:2965
2245	prednisolone	Epicondylitis	C0014488	73583000	DOID:14087
778	dalfopristin	Complicated Skin and Skin Structure Staphylococcus Aureus Infection			
824	dexamethasone	Cerebral edema	C0006114	2032001	DOID:4724
824	dexamethasone	Granuloma annulare	C0085074	65508009	DOID:3777
838	dexpanthenol	Paralytic Ileus Prevention			
865	diclofenac	Sprains and Strains			
2816	verteporfin	Exudative age-related macular degeneration	C0271084	414173003	DOID:10873
2819	vigabatrin	Epilepsy characterized by intractable complex partial seizures	C2711653	442481002	
3188	estrone	Contraception	C0700589	13197004	
333	benzatropine	Postencephalitic parkinsonism	C0030568	19972008	DOID:14332
348	betamethasone	Allergic rhinitis	C2607914	61582004	
349	betamethasone acetate	Transfusion Reaction Urticaria			
348	betamethasone	Tinea pedis	C0040259	6020002	DOID:12403
2245	prednisolone	Meibomianitis	C0549398	309779001	
2293	propantheline	Peptic ulcer	C0030920	13200003	DOID:750
2268	probenecid	Adjunct Treatment to Inhibit Renal Drug Excretion			
961	doxycycline	Chancroid	C0007947	266143009	DOID:13778
961	doxycycline	Disseminated Gonococcal Infection			
2838	ergocalciferol	Prevention of dental caries	C1960644	426482000	
4124	vorinostat	Primary cutaneous T-cell lymphoma	C0079773	400122007	
3620	tramazoline	Seasonal allergic rhinitis	C0018621	367498001	
489	carbamazepine	Glossopharyngeal neuralgia	C0154731	43763009	DOID:14423
534	cefditoren pivoxil	Bacterial pneumonia	C0004626	53084003	DOID:874
550	cefoxitin	Pneumonia due to Escherichia coli	C0276089	51530003	
555	cefpodoxime proxetil	Moraxella Catarrhalis Acute Otitis Media			
547	cefotetan	Streptococcal Peritonitis			
547	cefotetan	Peptostreptococcus infection	C1096562	135341000119101	
2407	rotigotine	Parkinson's disease	C0030567	49049000	DOID:14330
2346	quinidine	Life-Threatening Ventricular Tachycardia			
2342	quinestrol	Female hypogonadism syndrome	C0271578	16041008	
2552	tacrolimus	Atopic dermatitis	C0011615	24079001	DOID:3310
1048	erythromycin	Nongonococcal urethritis	C1112709	84619001	
1055	esomeprazole	Erosive esophagitis	C0267055	40719004	
1109	etomidate	General anesthesia	C0002915	50697003	
1977	nystatin	Mucocutaneous candidiasis	C0006848	29147005	
1967	norfloxacin	Prevention of Infection in Transrectal Prostate Biopsy			
1948	nitric oxide	Persistent pulmonary hypertension of the newborn	C0031190	233815004	DOID:13042
1932	nilotinib	Chronic Myelocytic Leukemia Accelerated Phase			
2031	oxymesterone	Primary Hypogonadism due to Orchitis			
2034	oxymorphone	General anesthesia	C0002915	50697003	
2028	oxybutynin	Urgent desire to urinate	C0085606	75088002	
2028	oxybutynin	Urge incontinence of urine	C0150045	87557004	
2006	oxacillin	Staphylococcal endocarditis	C0520767	73028002	
564	ceftriaxone	Haemophilus influenzae pneumonia	C0276026	70036007	
562	ceftibuten	Infective otitis media	C0729586	312218008	
563	ceftizoxime	Bacteroides Peritonitis			
563	ceftizoxime	Osteomyelitis due to Staphylococcus aureus	C1997728	428783003	
576	cefradine	Staphylococcus Acute Otitis Media			
571	cefalexin	Klebsiella cystitis	C0520775	60867007	
565	cefuroxime	Gonorrhea	C0018081	15628003	DOID:7551
586	chloral hydrate	Insomnia	C0917801	193462001	
659	ciprofloxacin	EnterobacterJoint Infection			
2477	stanozolol	Hereditary angioneurotic edema	C0019243	82966003	DOID:14735
2481	streptomycin	Haemophilus Endocarditis			
2492	sulbactam	E. Coli Peritonitis			
2495	sulconazole	Pityriasis versicolor	C0040262	56454009	DOID:9060
2581	telithromycin	Pneumonia due to Mycoplasma pneumoniae	C0032302	46970008	
2725	triamcinolone	Chronic Non-Allergic Rhinitis			
1118	everolimus	Renal cell carcinoma	C0007134	702391001	DOID:4450
1261	fusidic acid	Synergy for Escherichia Coli Meningitis			
1261	fusidic acid	Trachoma	C0040592	2576002	DOID:11265
1261	fusidic acid	Enterobacter Osteomyelitis			
1261	fusidic acid	Staphylococcal infectious disease	C0038160	56038003	
2129	phenindamine	Dermatographic urticaria	C0343065	7632005	DOID:743
2129	phenindamine	Vasomotor rhinitis	C0035460	8229003	DOID:4730
2082	benzylpenicillin	Upper respiratory infection	C0041912	54150009	DOID:10459
2083	phenoxymethylpenicillin	Upper Respiratory Pneumococcal Infection			
2068	paroxetine	Obsessive-compulsive disorder	C0028768	191736004	DOID:10933
2146	phenylephrine	Prevention of Posterior Synechiae			
678	clindamycin	Aspiration pneumonia	C0032290	422588002	DOID:3240
663	citalopram	Generalized anxiety disorder	C0270549	21897009	DOID:14320
666	citric acid	Struvite Renal Calculi			
4606	clocortolone pivalate	Lichen simplex chronicus	C0149922	53891004	
4606	clocortolone pivalate	Contact dermatitis	C0011616	40275004	DOID:2773
725	codeine	Pain	C0030193	22253000	
734	cortisone acetate	Atopic dermatitis	C0011615	24079001	DOID:3310
734	cortisone acetate	Hodgkin's disease	C0019829	118599009	DOID:8651
2684	tobramycin	Citrobacter Complicated UTI			
2621	thiabendazole	Enterobiasis	C0086227	266162007	DOID:7457
2646	levothyroxine	Congenital hypothyroidism	C0010308	190268003	DOID:0050328
2661	tigecycline	Complicated Skin and Skin Structure Infection			
2639	thiothixene	Schizophrenia	C0036341	58214004	
2676	tiopronin	Cystinuria	C0010691	85020001	DOID:9266
2680	tirofiban	Non-Q wave myocardial infarction	C0542269	314207007	
2695	tolazoline	Persistent pulmonary hypertension of the newborn	C0031190	233815004	DOID:13042
2763	triprolidine	Itching of skin	C0033774	418363000	
2749	alimemazine	Allergic conjunctivitis	C0009766	473460002	DOID:11204
2727	triamcinolone diacetate	Keloid scar	C0022548	33659008	
2726	triamcinolone acetonide	Adrenogenital disorder	C0701163	267395000	DOID:0050811
2726	triamcinolone acetonide	Disorder of eye	C0015397	371405004	DOID:5614
1199	flumethiazide	Hypertensive disorder	C0020538	38341003	DOID:10763
1336	guaifenesin	Influenza-like symptoms	C0392171	315642008	
1355	haloprogin	Tinea corporis	C0040252	84849002	DOID:12179
2149	phenylpropanolamine	Cough	C0010200	49727002	
2187	piperacillin	Prevention of Perioperative Infection			
2187	piperacillin	Infection due to Enterobacteriaceae	C0014347	128945009	
2187	piperacillin	Pseudomonas Aeruginosa Urinary Tract Infection			
2245	prednisolone	Acquired thrombocytopenia	C0154301	74576004	DOID:11126
2291	propafenone	Atrial fibrillation	C0004238	49436004	DOID:0060224
802	demeclocycline	Brucellosis	C0006309	75702008	DOID:11077
802	demeclocycline	Ornithosis	C0029291	75116005	DOID:11262
814	desloratadine	Common cold	C0009443	82272006	DOID:10459
783	daptomycin	Complicated Skin and Skin Structure Streptococcus Pyogenes Infection			
824	dexamethasone	Plaque psoriasis	C0406317	200965009	
830	dexbrompheniramine	Influenza-like symptoms	C0392171	315642008	
2819	vigabatrin	West syndrome	C0037769	28055006	DOID:2481
2803	valproic acid	Migraine Prevention			
1395	hydroxychloroquine	Ovale malaria	C0152072	19341001	DOID:12919
